title,published date,url,Sentiment (Manual),Keyword Count,Link Contains Matrox,Percentage (Manual),weight,Sentiment (Weighted),Difference,Normalized Difference
YouTube Creators Can Now Utilize AV1 Encoding for Better Quality ... - No Film School,00:00.0,https://nofilmschool.com/youtube-creators-can-now-utilize-av1-encoding-better-quality-better-bit-rate,3.5,,,87.5,1,87.5,20.07142857,100
ATI Technologies: Gone But Not Forgotten - TechSpot,00:00.0,https://www.techspot.com/article/2689-ati-technologies-history/,2.5,,,62.5,1,62.5,20.07142857,100
Matrox Video Introduced New Graphics Cardsâ€”Here's What You ... - AV Network,00:00.0,https://www.avnetwork.com/news/matrox-video-introduced-new-graphics-cardsheres-what-you-missed,4,,,100,1,100,20.07142857,100
InfoComm 2023 Impulses: Matrox Video Talks IPMX | AVNetwork - AV Network,00:00.0,https://www.avnetwork.com/news/infocomm-2023-impulses-matrox-video-talks-ipmx,4,,,100,1,100,20.07142857,100
"News roundup: RED, Panasonic, FootageCrate, PrimeTime, Matrox Video and Wooden Camera - RedShark News",00:00.0,https://www.redsharknews.com/news-red-panasonic-footagecrate-matroxvideo-woodencameras,4,,,100,1,100,20.07142857,100
June TV Tech Talk to Examine Latest Trends in Remote Production ... - TV Technology,00:00.0,https://www.tvtechnology.com/show-news/june-tv-tech-talk-to-examine-latest-trends-in-remote-production,2,,,50,1,50,20.07142857,100
Matrox Video Introduces LUMA Pro Graphics Cards for Pro AV Market - Sports Video Group,00:00.0,https://www.sportsvideo.org/2023/06/06/matrox-video-introduces-luma-pro-graphics-cards-for-pro-av-market/,4,,,100,1,100,20.07142857,100
Matrox Video debuts LUMA pro graphics cards - Digital Signage Today,00:00.0,https://www.digitalsignagetoday.com/news/matrox-video-debuts-luma-pro-graphics-cards/,3.5,,,87.5,1,87.5,20.07142857,100
Best of Show Awards 2023: Meet the Winners - Next TV,00:00.0,https://www.nexttv.com/news/best-of-show-awards-2023-meet-the-winners,4,,,100,1,100,20.07142857,100
"Robotic Vision Market Size in 2023 To 2029 | Acieta, Adept Technology, Cognex Corporation, Teledyne Dalsa, Key - openPR",12:00.0,https://www.openpr.com/news/3069808/robotic-vision-market-size-in-2023-to-2029-acieta-adept,2,,,50,1,50,20.07142857,100
Upcoming Webcast: Disaster Recovery and Control Room ... - Commercial Integrator,00:00.0,https://www.commercialintegrator.com/webcast/disaster-recovery-and-control-room-management-matrox-video-looks-at-ip-kvm-trends-and-a-use-case/,2,,,50,1,50,20.07142857,100
Studio Berlin Increases Channel Density With Matrox Video Cards ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2023/05/16/studio-berlin-increases-channel-density-with-matrox-video-cards-and-software/,3.5,,,87.5,1,87.5,20.07142857,100
Matrox Adopts Intel Alchemist GPUs for New Luma Graphics Cards - AnandTech,00:00.0,https://www.anandtech.com/show/18840/-matrox-adopts-intel-gpus-for-luma-graphics-cards,4,,,100,1,100,20.07142857,100
Matrox Video Joins Panasonic KAIROS Alliance | AVNetwork - AV Network,00:00.0,https://www.avnetwork.com/news/matrox-video-joins-panasonic-kairos-alliance,4,,,100,1,100,20.07142857,100
Matrox Launches LUMA Series Graphics Cards | TV Tech - TV Technology,00:00.0,https://www.tvtechnology.com/equipment/matrox-launches-luma-series-graphics-cards,4,,,100,1,100,20.07142857,100
NAB 2023: Matrox Video's New ORIGIN Framework Wins Big in Vegas - Sports Video Group,00:00.0,https://www.sportsvideo.org/2023/04/27/nab-show-2023-matrox-videos-new-origin-framework-wins-big-in-vegas/,4,,,100,1,100,20.07142857,100
TV Tech Announces Winners of Best of Show Awards at 2023 NAB ... - TV Technology,00:00.0,https://www.tvtechnology.com/news/tv-tech-announces-winners-of-best-of-show-awards-at-2023-nab-show,3.5,,,87.5,1,87.5,20.07142857,100
NAB 2023: Matrox Video Announces Matrox ORIGIN Framework for ... - Sports Video Group,00:00.0,https://www.sportsvideo.org/2023/04/18/nab-2023-matrox-video-announces-matrox-origin-framework-for-broadcast-infrastructure-of-the-future/,4,,,100,1,100,20.07142857,100
Hydro-Quebec website cyberattack resolved - CTV News Montreal,00:00.0,https://montreal.ctvnews.ca/cyberattack-that-paralyzed-the-hydro-quebec-website-has-been-resolved-1.6355312,0,,,0,1,0,20.07142857,100
NAB Show: Matrox Video to Demo Disruptive New Framework for ... - TV Technology,00:00.0,https://www.tvtechnology.com/news/nab-show-matrox-video-to-demo-disruptive-new-framework-for-live-broadcast-in-the-cloud,4,,,100,1,100,20.07142857,100
